"design","n","set","bias","sd","rmse","se_ratio","cov95","var_rel_Z"
"A: rare treatment (e<1/2)",500,"Z",0.00128021392859173,0.116072955199769,0.116021967512974,0.970237429210489,0.942,1
"A: rare treatment (e<1/2)",500,"ZW",0.00203629284505646,0.125837486968728,0.125791035221231,0.957412701327837,0.944,1.17532504324998
"A: rare treatment (e<1/2)",500,"ZI",0.00197645112259032,0.121892700306756,0.121847769436804,0.961704453768183,0.941,1.10279125355746
"A: rare treatment (e<1/2)",500,"ZWI",0.00274035177760584,0.129168816786978,0.129133296150849,0.956990596221846,0.941,1.23837814639674
"A: rare treatment (e<1/2)",2000,"Z",-0.00348033795870117,0.0551614628413197,0.0552436145461018,1.02135260690962,0.959,1
"A: rare treatment (e<1/2)",2000,"ZW",-0.00381140035445743,0.0603086620362297,0.060398877096727,0.998524718995692,0.958,1.19533005010429
"A: rare treatment (e<1/2)",2000,"ZI",-0.00318504019062005,0.0565793360603933,0.0566406614437169,1.03214796387149,0.959,1.05206880637275
"A: rare treatment (e<1/2)",2000,"ZWI",-0.00383271291109449,0.0609237129926303,0.0610137426672258,1.00947509501249,0.96,1.21983524505544
"B: common treatment (e>1/2)",500,"Z",-0.00294798652464059,0.131924697421748,0.131891668761069,1.00318212605025,0.952,1
"B: common treatment (e>1/2)",500,"ZW",0.000253634865629515,0.119199131271998,0.11913978677901,0.990555112559197,0.946,0.816383027081425
"B: common treatment (e>1/2)",500,"ZI",-0.00275299469398707,0.142062729620021,0.142018366093013,0.992560158064426,0.946,1.15959970588676
"B: common treatment (e>1/2)",500,"ZWI",-0.000631777389498045,0.129564260957901,0.129501003712402,0.95337287530388,0.935,0.964535531419015
"B: common treatment (e>1/2)",2000,"Z",-0.00153588053101611,0.0650835780291294,0.0650691569482059,1.01829463132391,0.954,1
"B: common treatment (e>1/2)",2000,"ZW",-0.000520211085009437,0.0579286652584534,0.0579020306029097,1.01615116966115,0.947,0.792217082190279
"B: common treatment (e>1/2)",2000,"ZI",-0.00352203037148924,0.0700299467626696,0.0700834784244935,1.01089084595485,0.957,1.15777655560502
"B: common treatment (e>1/2)",2000,"ZWI",-0.00212229083294099,0.0615589760941132,0.0615647800986686,1.00966307069441,0.951,0.894622741736121
